ID,Tourist Attraction,Latitude,Longitude,Description,URL
11,Museu Picasso de Barcelona,41.385416,2.180872,"This museum houses one of the most extensive collections of artworks by the 20th-century Spanish artist Pablo Picasso, showcasing his early works and formative years",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/WLM14ES_-_Museu_Picasso%2C_Ciutat_Vella%2C_Barcelona_-_MARIA_ROSA_FERRE_%282%29.jpg/1280px-WLM14ES_-_Museu_Picasso%2C_Ciutat_Vella%2C_Barcelona_-_MARIA_ROSA_FERRE_%282%29.jpg
12,Plaça del Rei,41.383333,2.176389,"A historic square in the Gothic Quarter, surrounded by medieval buildings and serving as a window into Barcelona's past",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Barcelona_%284711319980%29.jpg/1280px-Barcelona_%284711319980%29.jpg
13,Camp Nou,41.380896,2.12282,"The home stadium of FC Barcelona, offering guided tours that provide insight into the club's history and a chance to explore the impressive facilities",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Barcelona_296.JPG/1280px-Barcelona_296.JPG
14,Magic Fountain of Montjuïc,41.371129,2.151237,"This stunning fountain offers a captivating display of water, light, and music, creating a mesmerizing spectacle for visitors",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/007_Font_M%C3%A0gica_de_Montju%C3%AFc%2C_pl._Carles_Bu%C3%AFgas_%28Barcelona%29.jpg/1280px-007_Font_M%C3%A0gica_de_Montju%C3%AFc%2C_pl._Carles_Bu%C3%AFgas_%28Barcelona%29.jpg
15,Scenic Views and Art Museums in Montjuïc,41.3649,2.1556,"Montjuïc is a hill offering panoramic views of the city and is home to several museums, including the Joan Miró Foundation and the National Art Museum of Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/WLM14ES_-_Palau_Nacional_i_seu_del_MNAC_de_Barcelona_-_MARIA_ROSA_FERRE.jpg/1280px-WLM14ES_-_Palau_Nacional_i_seu_del_MNAC_de_Barcelona_-_MARIA_ROSA_FERRE.jpg
16,Reial Monestir de Santa Maria de Pedralbes,41.39,2.115,"This Gothic monastery is a serene and historically rich site, featuring beautiful architecture and tranquil gardens",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Barcelona_Monestir_de_Pedralbes4.JPG/1280px-Barcelona_Monestir_de_Pedralbes4.JPG
17,Fundació Joan Miró,41.36833,2.15999,"Dedicated to the works of Joan Miró, this museum showcases the artist's innovative and imaginative creations, providing a unique artistic experience",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Fundaci%C3%B3_Mir%C3%B3.JPG/1200px-Fundaci%C3%B3_Mir%C3%B3.JPG?20150326185906
18,Bogatell Beach,41.393333,2.201944,"A quieter and less crowded beach, offering a peaceful retreat with its golden sands and clear waters",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Barcelona_4320.JPG/1280px-Barcelona_4320.JPG
19,Catedral de la Santa Cruz y Santa Eulalia,41.383333,2.176389,"This impressive cathedral, also known as Barcelona Cathedral, is a prime example of Catalan Gothic architecture, featuring stunning interior and exterior details",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Catedral_de_la_Santa_Cruz_y_Santa_Eulalia_--_2019_--_Barcelona%2C_Espa%C3%B1a.jpg/1200px-Catedral_de_la_Santa_Cruz_y_Santa_Eulalia_--_2019_--_Barcelona%2C_Espa%C3%B1a.jpg?20190701152833
20,Parc de la Ciutadella,41.388611,2.1875,"This expansive park is a green oasis in the city, featuring a beautiful lake, lush gardens, and the Barcelona Zoo, providing a relaxing escape for visitors",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Barcelona_2006_%282844672561%29.jpg/1280px-Barcelona_2006_%282844672561%29.jpg
